id_pregunta,pregunta,base_legal,opción_a,respuesta_a,opción_b,respuesta_b,opción_c,respuesta_c,opción_d,respuesta_d;;;;;;;;
"P001,""Se presentan a su oficina los hijos de Jesús María de la Cruz a aceptar la herencia de su madre, quien los instituyó herederos a ambos bajo la condición de que, para honrar su memoria, acepten sin beneficio de inventario ";;;;;;;;
"P002,""El extranjero que no sabe hablar el idioma castellano, puede otorgar testamento y este debe ser:"",,""Testamento nuncupativo, con la asistencia de 3 testigos e interprete."",0.0,Testamento cerrado con la asistencia de 5 testigos e interprete y debe elaborar además una minuta.,1.0,""Puee otorgar testamento abierto o cerrado, basado en el principio de autonomía de la voluntad."",0.0,Existe el derecho de libertad de testamentifacción.,0.0 ";;;;;;;;
"P003,""Ante sus oficios notariales le presentan un contrato de compraventa de un lote de terreno y aparece que como precio se entregan las acciones electrónicas de una empresa tecnológica que recientemente se creó por el valor nominal de $10 cada una, alcanzando el valor total de diez mil dólares exactos  a lo que usted explica:"",,Que se trata de una venta de inmueble cuyo precio es válido y determinado.,0.0,Que por tratarse de acciones electrónicas el precio no es válido ya que solo es posible entregar como precio acciones físicas.,0.0,Que la entrega de acciones físicas o electrónicas a cambio de un lote de terreno hace degenerar la venta en una permuta.,1.0,""Que el precio de la venta solo puede ser moneda de curso legal ya sea colón, dólar o bitcoin y por tratarse de acciones, la venta carece de precio."",0.0 ";;;;;;;;
"P004,""Es necesario hacer la partición de los bienes inmuebles que dejó el causante y, dentro de los herederos, hay un menor adulto, por lo que le solicitan autorizar la partición extrajudicial  usted le explica que debe realizarse:"",,Que puede realizarse porque se trata de un menor adulto ya que la ley les confiere capacidades especiales.,0.0,Que puede hacerse con la representación de los padres del menor adulto y que ellos estén de acuerdo con el bien inmueble que se le va a asignar.,0.0,""Que es indispensable hacerlo ante el Juez competente, por estar dentro de los herederos un adolescente."",1.0,""En escritura pública con la comparecencia de todos los herederos declarados incluyendo el menor adulto, “adolescente”."",0.0 ";;;;;;;;
"P005,""Una emprendedora le consulta si puede enviar ofertas de su negocio de venta de artesanías a través de correo electrónico y si debe observar la aplicación de una ley en especial, a lo que usted le responde lo siguiente:"",,Que si es posible hacer las ofertas de su negocio a través de correo pero que deberá observar la aplicación de la Ley de Protección al Consumidor,1.0,Que no es posible hacer ofertas por correo electrónico porque no tiene ningún valor legal,0.0,Que una oferta solo tendrá valor legal si se hace a través de instrumento notarial,0.0,Que si es posible hacer las ofertas de su negocio a través de correo pero que deberá observar la aplicación de la Ley de Comercio Electrónico,0.0 ";;;;;;;;
"P006,""La joven Yajaira Emperatriz le solicita sus servicios, ya que el padre de su hija Nataly Abigail, de dos meses de edad, quiere reconocerla, pero ella no está de acuerdo porque después la va a abandonar y, con ello, afectará a la niña. Usted, experto en derecho de familia, le responde:"",,""Que el derecho esta de su lado, porque por ser menor de edad la hija, debe de comparecer la madre de a representarla y aceptar el reconocimiento"",0.0,""Que es un derecho del padre, y que se debe dejar constancia en el mismo de su oposición"",0.0,""Que antes de que el padre reconozca a la niña, que busque apoyo preventivo para evitar que lo haga."",0.0,""Que el reconocimiento lo puede hacer el padre sin el consentimiento de ella, porque es su derecho."",1.0 ";;;;;;;;
"P007,""Llega a su oficina la señora Beatriz Gabrielle Portillo de Baños y le pide una escritura de compraventa de un lote que compró  además, que ella ha estado fuera del país y en el extranjero se le ha llamado por otros nombres, que le aparecen en la licencia de conducir y en el carnet del seguro, y le solicita en la compraventa le coloque todos los otros nombres con los que aparece. Usted le dice:"",,""Que esta bien, se los va a colocar para que en el futuro no tenga ningún problema de discrepancia"",0.0,""Que se los va a relacionar cada uno, pero que necesita que le traiga los documentos que los respaldan"",0.0,""Que no es posible colocarle los demás nombres, porque no le coinciden con el documento que usted la esta identificando"",0.0,""Que se los va a colocar, pero que previamente se debe tramitar una diligencia para establecer que todos los nombres le corresponden a ella."",1.0 ";;;;;;;;
"P008,""Según la Ley del Ejercicio Notarial de la Jurisdicción Voluntaria y Otras Diligencias, se debe formar expediente de cada una de las actuaciones notariales, a excepción de las siguientes:"",,Diligencias de traducción,0.0,Diligencias de apertura de testamento cerrado,0.0,Diligencias de adecuación de nombre,0.0,Identidad de persona fallecida,1.0 ";;;;;;;;
"P009,""Como usted sabe, las Diligencias de Jurisdicción Voluntaria tienen como característica fundamental que no haya conflicto entre las partes  por lo cual, de las circunstancias que se le presentan a continuación, deben remitirse al Juzgado competente:"",,Cuando los interesados las abandonan,0.0,Cuando fuere adversa la opinión del Sindico Municipal o del Registro Nacional de las personas naturales,1.0,Cuando el notario hubiere fallecido,0.0,""Cuando le fueren requeridas por el Juez, no obstante haberlas concluido y formar parte del legajo de anexos"",0.0 ";;;;;;;;
"P010,""El señor Josafat Abdalá le comenta que necesita salir del país por cuestiones de urgencia y que él goza del derecho de uso y habitación de una casa ubicada en la Finca Asturias, y desconociendo cuándo va a regresar le dará en arrendamiento dicha casa a su sobrino de escasos recursos. Usted le dice:"",,Que puede cederle el derecho a algún pariente,0.0,""Que puede donar el derecho de uso y habitación, hay muchas personas sin hogar"",0.0,Que los derechos de uso y habitación no pueden arrendarse,1.0,Autoriza el contrato de arrendamiento para aprovechar la rentabilidad del mismo,0.0 ";;;;;;;;
"P011,""Ante sus oficios notariales se presenta un testamento que dice: """"El testador manifiesta que en caso de caer en coma o estado de inconsciencia, desea que su hijo mayor Juan Carlos sea el director general de operaciones de la empresa de manufactura Diseño"""", y usted explica lo siguiente:"",,Que la cláusula testamentaria es válida pero que solo produce efectos legales con la muerte del testador.,1.0,Que la cláusula no es válida porque cuando el testador esté en coma o estado de inconsciencia será declarado incapaz.,0.0,Que el testador no puede disponer acerca de algo que no sabe si pasará.,0.0,Que el testamento es para disponer de los bienes de una persona y no para suplir una necesidad en caso de inconsciencia.,0.0 ";;;;;;;;
"P012,""Ante sus oficios notariales se presenta un testamento que dice: """"Que en su vida no engendró a ningún hijo y que su única compañía era su perro Paco, por lo que ha decidido dejar como heredero de todos sus bienes a la Fundación Protección Animal, bajo la condición de que proteja a Paco y le dé su comida y medicinas hasta su muerte"""" y usted explica lo siguiente:"",,Que no se puede dejar como beneficiario en un testamento a un animal por lo que la cláusula es inválida.,0.0,""Que no se puede dejar como heredero a una fundación de protección animal, solo a sociedades."",0.0,Que no se puede obligar a una fundación a darle de comer a un animal aunque se trate de un testamento.,0.0,Que si se puede dejar a una fundación como heredero y que la condición de mantener a Paco es válida.,1.0  ";;;;;;;;
"P013,""Ante sus oficios se presenta un testamento que dice: """"Que nombro como única heredera de todos mis bienes a Sofía María, pero que el derecho que tengo en la herencia de mi madre, que falleció en 2020 a consecuencia de la Pandemia por COVID-19, se lo dejo a mi sobrina Katherine Marlene"""", y usted explica lo siguiente:"",,""Que el derecho de transmisión como el de la herencia de la madre del testador no puede entregarse a una persona en particular sino que corresponde al heredero universal, por lo tanto, lo asignado a Katherine Marlene es inválido."",1.0,""Que el derecho de transmisión puede ser asignado a quien quiera el testador, por lo tanto lo asignado a Katherine Marlene es válido."",0.0,Que lo asignado a Katherine Marlene no se trata de un bien de propiedad del testador y por esa razón lo asignado es inválido.,0.0,Que lo asignado a Katherine Marlene carece de un valor económico y por esa razón lo asignado es inválido.,0.0 ";;;;;;;;
"P014,""Se presenta a su oficina el señor Roberto Rubén Rodríguez y le pide que usted le certifique unas copias de una certificación de puntos de acta expedida en modalidad electrónica, con firma electrónica certificada por el Registro de Comercio  para ello, le presenta una reproducción de la misma. Usted le dice:"",,""Que la certificará porque es la nueva modalidad ahora, que debemos confiar en la tecnología"",0.0,Que no la certificará porque para ello debe tener a la vista la original,1.0,""No es posible certificarla porque la ley expresa que las copias se certifican para presentarlas a algún procedimiento, y desconoce para que las necesita"",0.0,Que se la certificará porque ha sido firmada con firma electrónica certificada y esto da seguridad,0.0 ";;;;;;;;
"P015,""Como usted sabe, las actas notariales se refieren a hechos que el notario presencia, ejecuta o comprueba  partiendo de esa premisa, un ejemplo de dichas actas notariales es:"",,Acta de reducción,0.0,Acta notarial de reconocimiento de obligación,0.0,Legalización de firmas en solicitudes o memoriales,0.0,Acta de notificación de providencias judiciales,1.0 ";;;;;;;;
"P016,Usted le responde:,,""Que hará el testamento en esas condiciones, que con la disposición del usufructo no hay problema porque él pago un precio por el mismo"",0.0,Que para que la legataria ejerza el derecho de usufructuaria necesitara la autorización de la nuda propietaria,0.0,Que para legarlo debe fijar un plazo para que su nieta disfrute de ese derecho,0.0,""Que no es posible disponer de él para después de sus días, porque de acuerdo al código Civil es intransferible"",1.0 ";;;;;;;;
"P017,""Los funcionarios diplomáticos y consulares ejercen la función notarial en razón del cargo, por lo que a usted le pregunta el Cónsul de Los Angeles, California, Estados Unidos de América, sobre el Libro de Protocolo, y usted le responde:"",,Que debe estar compuesto por doscientas hojas y vence en cinco años,0.0,Que esta formado por hojas que el Ministerio de Hacienda le entrega al crédito al Ministerio de relaciones exteriores,0.0,Que esta compuesto por hojas correlativas en numero de doscientos y que no vence sino hasta que se agota,1.0,Que el libro se lo entrega al funcionario del Servicio Exterior la Sección de Notariado directamente,0.0 ";;;;;;;;
"P018,""Ante sus oficios notariales se presenta un testamento que dice: """"Hago el nombramiento como herederos universales a mis hijos José Mateo y José María, a quienes les pido que en mi funeral no vistan de negro, sino de colores vibrantes, y entreguen globos de color a los asistentes, porque mi vida debe ser celebrada y no llorada""""  y usted explica que el efecto legal es el siguiente:"",,Que es una falta de respeto presentarse en un funeral vestido de colores vibrantes.,0.0,Que la manifestación de como hacer el funeral es una declaración testamentaria que expresa los deseos del testador pero que no es obligatoria.,1.0,""Que el testamento solo debe tratarse del reparto de bienes del testador y nada más, lo que dice acerca del funeral es inválido."",0.0,Que la forma de como realizar el funeral es una cláusula que debe ignorarse porque no tiene ninguna base legal.,0.0 ";;;;;;;;
"P019,""Ante sus oficios notariales se presenta un testamento cuya cláusula testamentaria dice: """"Que le perdona a su hijo Juan Ricardo el haberla abandonado sin llegar a visitarla o ayudarla económicamente durante los últimos días de su vida y lo declara heredero juntamente a sus otros hijos Juan Fernando y Juan Miguel"""", y usted explica que los efectos legales son:"",,Que las indignidades como el abandono del testador pueden perdonarse a través del acto testamentario.,1.0,Que el abandono del testador es una forma de indignidad que no puede ser perdonada porque es un acto grave.,0.0,Que puede perdonar una indignidad a través del acto testamentario pero no puede nombrarlo como heredero junto a los otros que no la abandonaron.,0.0,Que no era necesario mencionar nada acerca del abandono porque es un hecho sin ninguna importancia.,0.0 ";;;;;;;;
"P020,""Una persona solicita sus servicios para pedirle que le explique en qué consiste la más reciente modificación de su contrato individual de trabajo, en el que se incluirá obligatoriamente la 'modalidad de teletrabajo'  por lo que usted le explica lo siguiente:"",,Que después de la Pandemia por COVID-19 es normal que todos los patronos incluyan la modalidad de teletrabajo en los contratos de sus trabajadores.,0.0,Que es mejor la modalidad de teletrabajo porque le permitirá seguir laborando desde su casa de habitación.,0.0,Que la modalidad de teletrabajo solo necesita que conste por escrito y con el cambio propuesto se cumple el requisito que exige la ley.,0.0,""Que a pesar que el teletrabajo puede representar cambios positivos, no es obligatorio y debe ser acordado de manera voluntaria entre el patrono y el trabajador."",1.0 ";;;;;;;;
